1,2,5,15,9,2,10,0,2
2,2,5,15,9,2,10,0,2
3,2,5,15,9,1,7,0,1
4,2,8,51,19,2,10,0,2
5,2,6,51,9,1,7,0,1
6,2,5,15,9,1,7,0,1
7,2,4,15,17,2,10,0,2
8,2,4,15,17,1,5,0,1
9,2,8,51,19,2,10,0,2
10,3,7,15,17,1,1,0,1
11,2,8,15,11,2,10,0,2
12,2,5,15,9,1,5,0,1
13,3,7,15,17,2,10,0,2
14,3,7,15,17,1,5,0,1
15,3,7,15,17,1,1,0,1
16,2,5,36,17,1,5,0,1
17,2,5,10,9,2,10,0,2
18,2,10,40,19,2,10,0,2
19,2,5,15,9,2,10,0,2
20,2,5,15,9,1,5,0,1
21,2,5,15,9,1,5,0,1
22,2,5,10,9,1,5,0,1
23,2,10,15,19,2,10,0,2
24,3,7,10,16,2,10,0,2
25,2,5,15,9,1,5,0,1
26,2,5,44,9,1,5,0,1
27,3,7,15,16,1,5,0,1
28,2,8,15,19,2,10,0,2
29,2,8,15,19,2,10,0,2
30,2,8,10,19,2,10,0,2
31,2,5,15,9,1,5,0,1
32,1,10,36,11,2,10,0,2
33,2,5,15,9,2,10,0,2
34,3,7,36,20,1,9,0,1
35,2,5,51,9,1,5,0,1
36,2,5,15,9,1,5,0,1
37,2,5,15,9,1,5,0,1
38,2,5,15,17,2,10,0,2
39,2,9,40,19,2,10,0,2
40,2,5,15,9,2,5,0,2
41,2,8,39,19,2,10,0,2
42,2,5,40,9,1,5,0,1
43,3,7,36,17,2,10,0,2
44,1,10,10,11,2,5,0,2
45,3,7,15,20,1,5,0,1
46,3,7,36,16,1,5,0,1
47,3,7,15,20,1,5,0,1
48,3,7,15,20,1,5,0,1
49,2,5,15,9,1,5,0,1
50,2,5,15,9,2,5,0,2
51,3,7,10,17,1,5,0,1
52,2,4,51,17,1,5,0,1
53,3,7,15,16,1,5,0,1
54,3,7,10,16,1,5,0,1
55,2,5,10,9,1,5,0,1
56,3,7,36,20,1,5,0,1
57,2,5,15,9,1,5,0,1
58,3,7,36,16,1,5,0,1
59,3,7,36,16,1,5,0,1
60,2,6,51,9,4,5,0,1
61,3,7,15,20,1,5,0,1
62,3,7,15,16,1,5,0,1
63,3,7,15,9,4,5,0,1
64,3,7,15,20,1,5,0,1
65,2,8,36,19,2,10,0,2
66,2,8,15,19,2,10,0,2
